id;titulo;descricao;data_de_envio;observacao;modalidade;ch_cuprida;pontuacao;status;caminho_do_arquivo
1;Lindo Indian;../fake-data/blob/hipster.txt;2023-04-13T13:29:13;../fake-data/blob/hipster.txt;LOCAL;98951;120;EM_ESPERA;Loan Paraná
2;Expanded Carro Pizza;../fake-data/blob/hipster.txt;2023-04-13T11:07:09;../fake-data/blob/hipster.txt;REGIONAL;74748;12967;REPROVADO;CSS Legacy
3;open-source;../fake-data/blob/hipster.txt;2023-04-13T14:17:11;../fake-data/blob/hipster.txt;NACIONAL;34844;26812;REPROVADO;ouro Pequeno
4;Factors;../fake-data/blob/hipster.txt;2023-04-13T20:26:13;../fake-data/blob/hipster.txt;NACIONAL;2427;11484;APROVADO_PARCIALMENTE;França
5;Web;../fake-data/blob/hipster.txt;2023-04-13T09:04:17;../fake-data/blob/hipster.txt;INTERNACIONAL;90604;15013;APROVADO_PARCIALMENTE;Phased
6;grow bandwidth;../fake-data/blob/hipster.txt;2023-04-13T12:32:37;../fake-data/blob/hipster.txt;REGIONAL;26864;18770;EM_AVALIACAO;Avon
7;pele supply-chains;../fake-data/blob/hipster.txt;2023-04-13T16:57:34;../fake-data/blob/hipster.txt;NACIONAL;81973;11772;NAO_CONCLUIDO;Assistant Won
8;East;../fake-data/blob/hipster.txt;2023-04-13T04:54:58;../fake-data/blob/hipster.txt;INTERNACIONAL;2140;67520;REPROVADO;Espanha mission-critical
9;Investor;../fake-data/blob/hipster.txt;2023-04-14T00:05:27;../fake-data/blob/hipster.txt;NACIONAL;85668;35481;REPROVADO;Intuitive
10;Estônia whiteboard;../fake-data/blob/hipster.txt;2023-04-13T16:00:33;../fake-data/blob/hipster.txt;NACIONAL;19476;69407;REPROVADO;bronze
