id;nome;descricao;numero_de_pontos;data_criacao
1;Refinado Gabão;../fake-data/blob/hipster.txt;80037;2023-04-13T07:32:05
2;defect;../fake-data/blob/hipster.txt;70607;2023-04-13T11:42:30
3;Jogos;../fake-data/blob/hipster.txt;48559;2023-04-13T20:03:12
4;Czech alarm;../fake-data/blob/hipster.txt;38357;2023-04-13T13:51:25
5;TCP Granito contingency;../fake-data/blob/hipster.txt;61097;2023-04-13T12:47:12
6;e-markets Sabonete;../fake-data/blob/hipster.txt;95717;2023-04-13T16:24:20
7;payment Borders;../fake-data/blob/hipster.txt;7847;2023-04-13T14:15:57
8;açafrão esmeralda;../fake-data/blob/hipster.txt;22031;2023-04-13T05:58:18
9;open holistic facilitate;../fake-data/blob/hipster.txt;70126;2023-04-13T23:22:14
10;Avenida Lustroso card;../fake-data/blob/hipster.txt;12101;2023-04-13T18:40:49
